EAN	COD. INVENTARIO	COD. COMERCIAL	DESCRIPCION	EAN	EMPRESA	MARCA	MERCADO	NEGOCIO	CATEGORIA CALIDAD	TIPO FABRICACION	TIPO MERCADO
07798083388124	22EA53T	9122EA53TF	Monitor 22EA53T LED 22"	07798083388124	NEW SAN S.A.	LG	RETAIL	MONITORES DE PC	PRIMERA	CKD	SA
-	22EX355	9122EX355	LED SONY BRAVIA KDL-22EX355	-	NEW SAN S.A.	SONY	RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
07796962602224	22LC817H	9122LC817H	TV COLOR 22" LCD HD NOBLEX	07796962602224	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07798083384539	22LH20RMA	9122LH20RMA	LCD 22" LG SERIE LH20	07798083384539	NEW SAN S.A.	LG	LG RETAIL	MONITORES DE PC	PRIMERA	CKD	CORPORATIVO
07798083388087	22MN42A	9122MN42AF	Monitor TV 22MN42A LED TV 22"	07798083388087	NEW SAN S.A.	LG	RETAIL	MONITORES DE PC	PRIMERA	CKD	SA
07790653054705	22MP55DNS	9122MP55DNS	Monitor LED LG 22"	07790653054705	NEW SAN S.A.	LG	LG RETAIL	MONITORES DE PC	PRIMERA	CKD	CORPORATIVO
07790653057416	22MP57HQ	9122MP57HQ	Monitor LED LG 22"	07790653057416	NEW SAN S.A.	LG	LG RETAIL	MONITORES DE PC	PRIMERA	CKD	CORPORATIVO
07798083388131	23EA53V	9123EA53VF	Monitor 23EA53V LED 23"	07798083388131	NEW SAN S.A.	LG	RETAIL	MONITORES DE PC	PRIMERA	CKD	SA
07790653054712	23MP55HQNS	9123MP55HQNS	Monitor LED LG 23"	07790653054712	NEW SAN S.A.	LG	LG RETAIL	MONITORES DE PC	PRIMERA	CKD	CORPORATIVO
07790653057423	23MP57HQ	9123MP57HQ	Monitor LG 23"	07790653057423	NEW SAN S.A.	LG	LG RETAIL	MONITORES DE PC	PRIMERA	CKD	CORPORATIVO
-	24HDN10	9124HDN10	LED TV 24 HD	-	NEW SAN S.A.	GENERAL	RETAIL	DISPLAYS	PRIMERA	CKD	SA
07796962602439	24LC823H	9124LC823H	LCD 24" HD NOBLEX	07796962602439	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962608271	24LC827H	9124LC827H	LCD 24" HD NOBLEX	07796962608271	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962602477	24LC834F	9124LC834F	LCD 24" FULL HD NOBLEX	07796962602477	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962608394	24LD839FT	9124LD839FT	LED 24" FULL HD DIGITAL NOBLEX	07796962608394	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962612414	24LD857HT	9124LD857HT	TV LED 24 HD NOBLEX	07796962612414	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962622413	24LD866HT	9124LD866HT	LED TV 24 HD NOBLEX. (GINGA)	07796962622413	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07796962622451	24LD866HTU	9424LD866HTU	LED TV 24 HD NOBLEX. (GINGA)	07796962622451	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CBU	PROPIA
07796962600121	24LD873HT	9124LD873HT	LED TV 24 HD NOBLEX.	07796962600121	NEW SAN S.A.	NOBLEX	RETAIL	DISPLAYS	PRIMERA	CKD	PROPIA
07798083388094	24MN42A	9124MN42AF	Monitor TV 24MN42A LED TV 24"	07798083388094	NEW SAN S.A.	LG	RETAIL	MONITORES DE PC	PRIMERA	CKD	SA
07790653054378	24MT45DNS	9124MT45DNS	Monitor TV LED FHD 24" LG	07790653054378	NEW SAN S.A.	LG	LG RETAIL	MONITORES DE PC	PRIMERA	CKD	CORPORATIVO
07790653057430	24MT48DF	9124MT48DF	Monitor TV 24" LG	07790653057430	NEW SAN S.A.	LG	LG RETAIL	MONITORES DE PC	PRIMERA	CKD	CORPORATIVO
07790653059083	24MT49DF	9124MT49DF	TV LG 24MT49DF	07790653059083	NEW SAN S.A.	LG	RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
04905524917420	24R425	9124R425	LED SONY BRAVIA KDL-24R425	04905524917420	NEW SAN S.A.	SONY	RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
07796962950011	25N001AR	9125N001AR	NOTEBOOK COMPAQ PRESARIO 25N001	07796962950011	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962950035	25N003AR	9125N003AR	NOTEBOOK COMPAQ PRESARIO 25N003AR	07796962950035	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962950059	25N005AR	9125N005AR	NOTEBOOK COMPAQ PRESARIO 25N005AR	07796962950059	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07796962250074	25N007AR	9125N007AR	NOTEBOOK COMPAQ PRESARIO 21N007AR	07796962250074	NEW SAN S.A.	COMPAQ	RETAIL	COMPUTADORAS	PRIMERA	CKD	PROPIA
07798083382467	26LD330MB	9126LD330MB	LCD 26"LG-SERIE LD330	07798083382467	NEW SAN S.A.	LG	LG RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
07798083384546	26LH20RMA	9126LH20RMA	LCD 26" LG SERIE LH20	07798083384546	NEW SAN S.A.	LG	LG RETAIL	DISPLAYS	PRIMERA	CKD	CORPORATIVO
